2025-07-23 20:33:45 [[32m    INFO[0m] ActionPage: Переход по URL: https://ru.kinorium.com/?bye
2025-07-23 20:33:45 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/url {'url': 'https://ru.kinorium.com/?bye'}
2025-07-23 20:33:52 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/url HTTP/1.1" 200 0
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: GET http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/url {}
2025-07-23 20:33:52 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "GET /session/c773946e5a54d75dd66189c21c408d3f/url HTTP/1.1" 200 0
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":"https://ru.kinorium.com/?bye"} | headers=HTTPHeaderDict({'Content-Length': '40', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:52 [[32m    INFO[0m] AssertPage: URL соответствует ожидаемому: https://ru.kinorium.com/?bye
2025-07-23 20:33:52 [[32m    INFO[0m] ActionPage: Клик по элементу: ('css selector', 'body > div.modalBluring > div > div.topMenu__wrapper.topMenu_experimentFixedMenu > div > div.toolbox > a.topMenu__avatar.submenu-opener > img')
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': 'body > div.modalBluring > div > div.topMenu__wrapper.topMenu_experimentFixedMenu > div > div.toolbox...'}
2025-07-23 20:33:52 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.2EF9096CE0BAF28236B0551274C93EF5.e.238"}} | headers=HTTPHeaderDict({'Content-Length': '127', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){var g=this||self;\nfunction aa(a){var b=typeof...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.B417D136D5B39A2B67714AEDEF58441E.d.2EF9096CE0BAF28236B0551274C93EF5.e.238'}]}
2025-07-23 20:33:52 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/execute/sync HTTP/1.1" 200 0
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: GET http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.2EF9096CE0BAF28236B0551274C93EF5.e.238/enabled {}
2025-07-23 20:33:52 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "GET /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.2EF9096CE0BAF28236B0551274C93EF5.e.238/enabled HTTP/1.1" 200 0
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:52 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.2EF9096CE0BAF28236B0551274C93EF5.e.238/click {}
2025-07-23 20:33:54 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element/f.B417D136D5B39A2B67714AEDEF58441E.d.2EF9096CE0BAF28236B0551274C93EF5.e.238/click HTTP/1.1" 200 0
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:54 [[32m    INFO[0m] ActionPage: Ожидание селектора ('css selector', 'body > div.modalBluring > div > div.table.main-table_content.main-table.main-container_experimentFixedMenu > div.table-row > div.table-cell.leftContent.userPage.user_info > div.userPage__avatar-box > button') в течение 5 секунд
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': 'body > div.modalBluring > div > div.table.main-table_content.main-table.main-container_experimentFix...'}
2025-07-23 20:33:54 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.B1EF5AB36C70E6E1B494AEF80E19B505.e.275"}} | headers=HTTPHeaderDict({'Content-Length': '127', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': 'body > div.modalBluring > div > div.table.main-table_content.main-table.main-container_experimentFix...'}
2025-07-23 20:33:54 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.B1EF5AB36C70E6E1B494AEF80E19B505.e.275"}} | headers=HTTPHeaderDict({'Content-Length': '127', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){var g=this||self;\nfunction aa(a){var b=typeof...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.B417D136D5B39A2B67714AEDEF58441E.d.B1EF5AB36C70E6E1B494AEF80E19B505.e.275'}]}
2025-07-23 20:33:54 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/execute/sync HTTP/1.1" 200 0
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){var g=this||self;\nfunction aa(a){var b=typeof...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.B417D136D5B39A2B67714AEDEF58441E.d.B1EF5AB36C70E6E1B494AEF80E19B505.e.275'}]}
2025-07-23 20:33:54 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/execute/sync HTTP/1.1" 200 0
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
2025-07-23 20:33:54 [[32m    INFO[0m] AssertPage: Элемент ('css selector', 'body > div.modalBluring > div > div.table.main-table_content.main-table.main-container_experimentFixedMenu > div.table-row > div.table-cell.leftContent.userPage.user_info > div.userPage__avatar-box > button') виден на странице
2025-07-23 20:33:54 [[32m    INFO[0m] ActionPage: Клик по элементу: ('css selector', 'body > div.modalBluring > div > div.table.main-table_content.main-table.main-container_experimentFixedMenu > div.table-row > div.table-cell.leftContent.userPage.user_info > div.userPage__avatar-box > button')
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: POST http://localhost:51037/session/c773946e5a54d75dd66189c21c408d3f/element {'using': 'css selector', 'value': 'body > div.modalBluring > div > div.table.main-table_content.main-table.main-container_experimentFix...'}
2025-07-23 20:33:54 [[35m   DEBUG[0m] urllib3.connectionpool: http://localhost:51037 "POST /session/c773946e5a54d75dd66189c21c408d3f/element HTTP/1.1" 200 0
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.B417D136D5B39A2B67714AEDEF58441E.d.B1EF5AB36C70E6E1B494AEF80E19B505.e.275"}} | headers=HTTPHeaderDict({'Content-Length': '127', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
2025-07-23 20:33:54 [[35m   DEBUG[0m] selenium.webdriver.remote.remote_connection: Finished Request
